xyzid,SMILES,solvent,exp. abs. energy[eV],b3lyp cal. abs. energy[eV],b3lyp delta[eV],wb97 cal. abs. energy[eV],wb97 delta[eV],wb97x cal. abs. energy[eV],wb97x delta[eV],wpbeh cal. abs. energy[eV],wpbeh delta,pbe0 cal. abs. energy[eV],pbe0 delta[eV],camb3lyp cal. abs. energy[eV],camb3lyp delta[eV]
296, F[B-]1(F)Oc2ccc3c(c2c2[n+]1c1CCc4c(c1c1c2c2ccccc2CC1)cccc4)cccc3,dichloromethane,3.583,3.331,-0.252,3.427,-0.156,3.661,0.078,3.752,0.169,2.838,-0.745,3.74,0.157
297, Fc1cc2c(c3c1cccc3)c1c3c2ccc2c3c(cc1)c1c3c2cccc3ccc1,dichloromethane,2.465,2.585,0.12,2.729,0.264,2.91,0.445,2.982,0.517,2.669,0.204,2.97,0.505
298, C[n+]1ccc(nc1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1.[I-],dichloromethane,2.198,2.405,0.207,2.735,0.537,2.966,0.768,3.043,0.845,2.489,0.291,2.954,0.756
299, Ic1nc(C=Cc2ccc(cc2)N(C)C)cc(n1)C=Cc1ccc(cc1)N(C)C,dichloromethane,2.755,2.539,-0.216,2.929,0.174,3.176,0.421,3.264,0.509,2.655,-0.1,3.213,0.458
300, N#CC(=Cc1ccc(cc1)N(C)C)c1ccc(cc1)F,dichloromethane,3.155,3.25,0.095,3.343,0.188,3.55,0.395,3.652,0.497,3.328,0.173,3.636,0.481
301, C[n+]1ccc(nc1)C=Cc1ccc(cc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1.[I-],dichloromethane,2.384,3.126,0.742,3.006,0.622,3.247,0.863,3.319,0.935,3.296,0.912,3.114,0.73
302, N#CC(=Cc1ccc(s1)c1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)N(c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)C(=O)O,dichloromethane,2.52,2.778,0.258,2.935,0.415,3.133,0.613,3.218,0.698,2.973,0.453,3.011,0.491
303, Nc1ccc2c(c1)oc(=O)cc2C(F)(F)F,dichloromethane,3.444,6.473,3.029,6.246,2.802,6.707,3.263,6.886,3.442,6.653,3.209,6.922,3.478
304, N#Cc1cc2ccc3c(c2c2c1ccc1c2c2ccccc2cc1)c1ccccc1cc3,dichloromethane,4.644,2.068,-2.576,1.984,-2.66,3.246,-1.398,3.319,-1.325,2.056,-2.588,3.238,-1.406
305, NCCNc1cccc2c1C(=O)c1c(C2=O)cccc1,dichloromethane,2.431,2.583,0.152,2.743,0.312,5.086,2.655,5.206,2.775,2.689,0.258,5.819,3.388
306, Nc1ccc2c(c1)oc(=O)cc2C,dichloromethane,3.69,3.958,0.268,6.259,2.569,6.725,3.035,6.909,3.219,6.638,2.948,6.94,3.25
307, FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCC[n+]1ccccc1C=Cc1ccc(cc1)N(CC)CC,dichloromethane,2.422,2.724,0.302,2.928,0.506,3.291,0.869,3.252,0.83,2.835,0.413,3.129,0.707
308, O=C(c1ccc2c(c1)cccc2)C=Cc1cn(c2c1cccc2)Cc1ccccc1,dichloromethane,3.061,3.131,0.07,3.415,0.354,3.655,0.594,3.752,0.691,3.266,0.205,3.708,0.647
309, O=C(n1c(=O)c2c(c1c1ccc(cc1)C=Cc1ccccc1)c(=O)n(c2c1ccc(cc1)C=Cc1ccccc1)C(=O)OC(C)(C)C)OC(C)(C)C,dichloromethane,2.588,2.285,-0.303,2.723,0.135,2.926,0.338,3.007,0.419,2.397,-0.191,2.895,0.307
310, O=C(n1c(=O)c2c(c1c1ccc(cc1)c1ccc(cc1)C(C)(C)C)c(=O)n(c2c1ccc(cc1)c1ccc(cc1)C(C)(C)C)C(=O)OC(C)(C)C)OC(C)(C)C,dichloromethane,2.678,2.678,0,2.906,0.228,3.145,0.467,3.157,0.479,2.813,0.135,3.244,0.566
311, O=C(n1c(=O)c2c(c1c1ccc(cc1)c1ccc(cc1)S(=O)(=O)C)c(=O)n(c2c1ccc(cc1)c1ccc(cc1)S(=O)(=O)C)C(=O)OC(C)(C)C)OC(C)(C)C,dichloromethane,2.749,2.725,-0.024,2.939,0.19,3.075,0.326,3.24,0.491,2.815,0.066,3.174,0.425
312, O=C1C(=CC=C2C=C(OC(=C2)c2ccccc2)c2ccccc2)C(=O)c2c1cccc2,dichloromethane,2.348,2.779,0.431,2.738,0.39,2.891,0.543,2.945,0.597,2.835,0.487,2.954,0.606
313, O=C1C(=CC=C2C=C(OC(=C2)c2ccccc2)c2ccccc2)C(=O)c2c1csc2,dichloromethane,2.305,2.72,0.415,2.683,0.378,2.82,0.515,2.891,0.586,2.784,0.479,2.893,0.588
314, N#Cc1c(C#N)c2ccc3c(c2c2c1ccc1c2c2ccccc2cc1)c1ccccc1cc3,dichloromethane,4.626,2.08,-2.546,3.054,-1.572,3.234,-1.392,3.066,-1.56,2.669,-1.957,3.239,-1.387
315, Cn1c2ccc(cc2c2c1ccc(c2)C(=Cc1ccc(cc1)c1nnc(o1)C)C#N)C(=Cc1ccc(cc1)c1nnc(o1)C)C#N,dichloromethane,2.973,3.884,0.911,4.353,1.38,4.749,1.776,4.786,1.813,4.052,1.079,4.665,1.692
316, Cn1c(=O)c2c(c1c1ccc(s1)c1ccc3c(c1)Sc1c(N3CC(C)CC)cccc1)c(=O)n(c2c1ccc(s1)c1ccc2c(c1)Sc1c(N2CC(C)CC)cccc1)C,dichloromethane,1.867,1.987,0.12,2.365,0.498,2.567,0.7,2.56,0.693,2.104,0.237,2.5,0.633
317, Cn1c2ccc(cc2c2c1cc(cc2)C(=Cc1ccc(cc1)C#N)C#N)C(=Cc1ccc(cc1)C#N)C#N,dichloromethane,3.009,4.112,1.103,4.557,1.548,4.87,1.861,5.062,2.053,4.293,1.284,4.978,1.969
318, C[Si](C#Cc1c2cc3c4ccccc4C(c3cc2c(c2c1cccc2)C#C[Si](C)(C)C)(C)C)(C)C,dichloromethane,2.725,3.968,1.243,4.052,1.327,4.333,1.608,4.449,1.724,4.112,1.387,4.425,1.7
319, Cc1nc(c2n1ccc(c2)c1nnc(o1)c1ccccc1)Cl,dichloromethane,4.35,4.22,-0.13,4.163,-0.187,4.514,0.164,4.641,0.291,4.389,0.039,4.671,0.321
320, Cc1nc(c2n1ccc(c2)c1nnc(o1)c1ccc(cc1Cl)Cl)Cl,dichloromethane,4.428,4.232,-0.196,4.14,-0.288,4.439,0.011,4.629,0.201,4.341,-0.087,4.634,0.206
321, Cc1nc(c2n1ccc(c2)c1nnc(o1)c1ccc(cc1)OC)Cl,dichloromethane,4.065,4.822,0.757,4.1,0.035,4.437,0.372,4.562,0.497,3.304,-0.761,4.569,0.504
322, Cc1nc(c2n1ccc(c2)c1nnc(o1)c1ccc(cc1)Cl)Cl,dichloromethane,4.542,4.16,-0.382,4.136,-0.406,4.485,-0.057,4.609,0.067,4.329,-0.213,4.629,0.087
323, Cc1nc(c2n1ccc(c2)c1nnc(o1)c1ccc(cc1)C)Cl,dichloromethane,4.217,4.076,-0.141,4.16,-0.057,4.509,0.292,4.629,0.412,4.244,0.027,4.653,0.436
324, Cc1nc(c2n1ccc(c2)c1nnc(o1)CC)Cl,dichloromethane,4.999,4.947,-0.052,4.937,-0.062,5.32,0.321,5.471,0.472,5.09,0.091,5.508,0.509
325, Cc1ccc(cc1)c1nnc(o1)c1cc(nn1Cc1ccc(nc1)Cl)c1ccc(cc1)Cl,dichloromethane,4.509,4.196,-0.313,4.245,-0.264,4.544,0.035,4.66,0.151,4.154,-0.355,4.644,0.135
326, Cc1ccc(cc1)N(c1ccc2c3c1ccc1c3c(cc2)ccc1)c1ccc(cc1)C,dichloromethane,3.009,3.86,0.851,4.22,1.211,3.455,0.446,4.713,1.704,4.281,1.272,5.363,2.354
327, Cc1ccc(cc1)C=NCCN=Cc1ccc(cc1)C,dichloromethane,5.04,5.086,0.046,4.846,-0.194,5.134,0.094,5.291,0.251,4.862,-0.178,5.267,0.227
328, Cn1c2ccc(cc2c2c1ccc(c2)C(=Cc1ccc(cc1)OC)C#N)C(=Cc1ccc(cc1)OC)C#N,dichloromethane,3.107,4.052,0.945,4.232,1.125,3.94,0.833,4.99,1.883,3.884,0.777,3.956,0.849
329, Cc1nc(c2n1ccc(c2)c1nnc(o1)c1ccccc1F)Cl,dichloromethane,4.476,4.257,-0.219,4.148,-0.328,4.497,0.021,4.633,0.157,4.413,-0.063,4.653,0.177
330, Clc1ccc(cc1)[N+](=Cc1ccc2c(c1)Sc1c(N2C)cccc1)[O-],dichloromethane,3.924,4.257,0.333,4.605,0.681,5.062,1.138,5.23,1.306,4.449,0.525,5.17,1.246
331, Clc1ccc(cc1)c1cc(n(n1)Cc1ccc(cc1)C(C)(C)C)c1nnc(o1)c1ccc(cc1)C,dichloromethane,4.509,4.196,-0.313,4.322,-0.187,4.611,0.102,4.689,0.18,4.437,-0.072,4.679,0.17
332, Clc1ccc(cc1)c1cc(n(n1)Cc1ccc(cc1)C(C)(C)C)c1nnc(o1)c1cccc(c1)Br,dichloromethane,4.525,4.208,-0.317,4.225,-0.3,4.544,0.019,4.688,0.163,4.377,-0.148,4.685,0.16
333, Clc1ccc(cc1)c1cc(n(n1)Cc1ccc(cc1)C(C)(C)C)c1nnc(o1)c1ccccc1,dichloromethane,4.525,4.232,-0.293,4.269,-0.256,4.584,0.059,4.733,0.208,4.413,-0.112,4.705,0.18
334, Clc1ccc(cc1)c1cc(n(n1)Cc1ccc(nc1)Cl)c1nnc(o1)c1cccc(c1)Br,dichloromethane,4.525,4.187,-0.338,4.377,-0.148,4.697,0.172,4.71,0.185,4.374,-0.151,4.688,0.163
335, Clc1ccc(cc1)c1cc(n(n1)Cc1ccc(nc1)Cl)c1nnc(o1)c1ccccc1,dichloromethane,4.509,4.24,-0.269,4.461,-0.048,4.744,0.235,4.734,0.225,4.437,-0.072,4.786,0.277
336, Clc1ccc(cc1)c1cc(n(n1)Cc1ccccc1)c1nnc(o1)c1ccccc1,dichloromethane,4.644,4.239,-0.405,4.346,-0.298,4.639,-0.005,4.746,0.102,4.432,-0.212,4.736,0.092
337, O=C1C(=CC=C2C=C(SC(=C2)c2ccccc2)c2ccccc2)C(=O)c2c1cccc2,dichloromethane,2.23,2.7,0.47,2.631,0.401,2.77,0.54,2.798,0.568,2.744,0.514,2.83,0.6
338, Cn1c(=O)c2c(c1c1ncc(s1)c1ccc3c(c1)Sc1c(N3CC(C)CC)cccc1)c(=O)n(c2c1ncc(s1)c1ccc2c(c1)Sc1c(N2CC(C)CC)cccc1)C,dichloromethane,1.893,1.804,-0.089,2.339,0.446,2.502,0.609,2.56,0.667,1.957,0.064,2.506,0.613
339, Cn1c(c2cc3c(s2)cc(s3)c2ccc3c(c2)Sc2c(N3CC(C)CC)cccc2)c2c(c1=O)c(n(c2=O)C)c1csc2c1sc(c2)c1ccc2c(c1)Sc1c(N2CC(C)CC)cccc1,dichloromethane,1.831,2.188,0.357,2.535,0.704,2.736,0.905,2.844,1.013,2.309,0.478,2.752,0.921
340, Clc1ccc(cc1)C1=NN(C(C1)c1ccco1)c1cccc(c1)S(=O)(=O)c1cccc(c1)N1N=C(CC1c1ccco1)c1ccc(cc1)Cl,dichloromethane,3.473,3.499,0.026,3.655,0.182,3.944,0.471,4.016,0.543,3.595,0.122,4.04,0.567
341, O=C1C(=CC=C2OC(=CC(=C2)c2ccccc2)c2ccccc2)C(=O)c2c1cccc2,dichloromethane,2.16,2.498,0.338,2.604,0.444,2.768,0.608,2.831,0.671,2.573,0.413,2.824,0.664
342, c1ccc(cc1)C1=CC(=Cc2ccc(cc2)C=Cc2cc(nc(n2)c2ccccn2)c2ccccn2)C=C(O1)c1ccccc1,dichloromethane,2.695,2.377,-0.318,2.974,0.279,3.192,0.497,3.275,0.58,2.516,-0.179,3.167,0.472
343, O=C1C(=CC=CC=C2C=C(OC(=C2)c2ccccc2)c2ccccc2)C(=O)c2c1cccc2,dichloromethane,2.07,2.478,0.408,2.424,0.354,2.551,0.481,2.6,0.53,2.518,0.448,2.615,0.545
344, c1ccc(cc1)C1=CC(=CC=Cc2ccncn2)C=C(O1)c1ccccc1,dichloromethane,2.792,2.874,0.082,2.93,0.138,3.114,0.322,3.19,0.398,2.927,0.135,3.182,0.39
345, c1ccc(cc1)C1=CC(=CC=Cc2cnccn2)C=C(O1)c1ccccc1,dichloromethane,2.818,2.802,-0.016,2.918,0.1,3.13,0.312,3.198,0.38,2.878,0.06,3.187,0.369
346, c1ccc(cc1)C1=CC(=Cc2ccc(cc2)C#Cc2ccnc(n2)C#Cc2ccc(cc2)C=C2C=C(OC(=C2)c2ccccc2)c2ccccc2)C=C(O1)c1ccccc1,dichloromethane,2.226,2.477,0.251,2.994,0.768,3.234,1.008,3.283,1.057,2.597,0.371,3.259,1.033
347, c1ccc(cc1)C1=CC(=Cc2ccc(cc2)C#Cc2ncnc(c2)C#Cc2ccc(cc2)C=C2C=C(OC(=C2)c2ccccc2)c2ccccc2)C=C(O1)c1ccccc1,dichloromethane,2.019,2.261,0.242,2.958,0.939,3.133,1.114,3.234,1.215,2.405,0.386,3.126,1.107
348, CSc1ccc(cc1)c1ccc(cc1)c1n(C(=O)OC(C)(C)C)c(=O)c2c1c(=O)n(c2c1ccc(cc1)c1ccc(cc1)SC)C(=O)OC(C)(C)C,dichloromethane,2.644,2.393,-0.251,2.808,0.164,3.041,0.397,3.155,0.511,2.541,-0.103,3.083,0.439
349, c1ccc(cc1)C1=CC(=Cc2ccc(cc2)C=Cc2cnc3c(n2)cccc3)C=C(O1)c1ccccc1,dichloromethane,2.755,2.284,-0.471,2.907,0.152,3.149,0.394,3.186,0.431,2.419,-0.336,3.096,0.341
350, c1ccc(cc1)Cn1nc(cc1c1nnc(o1)c1ccccc1)c1ccccc1,dichloromethane,4.575,4.276,-0.299,4.288,-0.287,4.596,0.021,4.719,0.144,4.462,-0.113,4.704,0.129
351, c1ccc(cc1)N(c1cc(N(c2ccccc2)c2ccccc2)c2c3c1ccc1c3c(cc2)c(cc1N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1)c1ccccc1,dichloromethane,2.689,2.97,0.281,3.283,0.594,3.631,0.942,3.752,1.063,3.078,0.389,4.16,1.471
352, c1ccc(cc1)N(c1ccc2c3c1ccc1c3c(cc2)ccc1)c1ccccc1,dichloromethane,3.271,3.884,0.613,4.862,1.591,3.563,0.292,3.626,0.355,4.016,0.745,3.623,0.352
353, c1ccc(cc1)P(c1ccccc1)C=CP(c1ccccc1)c1ccccc1,dichloromethane,2.786,4.605,1.819,4.894,2.108,5.242,2.456,5.303,2.517,4.725,1.939,5.339,2.553
354, c1ccc(cc1)C1=CC(=CC=Cc2cccnn2)C=C(O1)c1ccccc1,dichloromethane,2.904,2.886,-0.018,2.991,0.087,3.2,0.296,3.273,0.369,2.958,0.054,3.265,0.361
355, c1ccc(cc1)P(c1ccccc1)CCP(c1ccccc1)c1ccccc1,dichloromethane,2.774,4.906,2.132,5.146,2.372,5.459,2.685,5.555,2.781,5.122,2.348,5.579,2.805
356, c1ccc(cc1)c1c2ccccc2c(c2c1cccc2)c1ccc2c(c1)c1cc(ccc1o2)c1c2ccccc2c(c2c1cccc2)c1ccccc1,dichloromethane,3.306,3.307,0.001,3.415,0.109,3.631,0.325,3.727,0.421,3.343,0.037,3.727,0.421
357, c1ccc(cc1)c1c2ccccc2c(c2c1cccc2)c1cccc(c1)c1c2ccccc2c(c2c1cccc2)c1ccccc1,dichloromethane,2.837,3.319,0.482,3.379,0.542,3.607,0.77,3.715,0.878,3.379,0.542,3.703,0.866
358, c1ccc(cc1)c1c2ccccc2c(c2c1cccc2)c1cccc(n1)c1c2ccccc2c(c2c1cccc2)c1ccccc1,dichloromethane,2.863,3.283,0.42,3.415,0.552,3.619,0.756,3.715,0.852,3.367,0.504,3.715,0.852
359, c1ccc(cc1)c1ccc(nn1)C#Cc1ccc(cc1)N(c1ccc(cc1)C#Cc1ccc(nn1)c1ccccc1)c1ccc(cc1)C#Cc1ccc(nn1)c1ccccc1,dichloromethane,3.147,2.717,-0.43,3.343,0.196,3.679,0.532,3.619,0.472,2.862,-0.285,3.559,0.412
360, c1ccc(cc1)n1c(nc2c1cccc2)c1ccc(cc1)c1nc2ccccc2c(n1)c1ccc(cc1)c1nc2c(n1c1ccccc1)cccc2,dichloromethane,3.625,3.379,-0.246,3.956,0.331,4.293,0.668,4.401,0.776,3.547,-0.078,4.329,0.704
361, c1ccc(cc1)n1c2ccc(cc2c2c1cccc2)c1nc(nc2c1cccc2)c1cccc(c1)c1ccc2c(c1)c1ccccc1c1c2cccc1,dichloromethane,3.297,3.956,0.659,4.232,0.935,4.449,1.152,4.581,1.284,4.124,0.827,4.509,1.212
362, c1ccc(cc1)n1c2ccc(cc2c2c1cccc2)c1nc2ccccc2c(n1)c1ccc2c(c1)c1ccccc1n2c1ccccc1,dichloromethane,3.604,3.222,-0.382,3.848,0.244,4.196,0.592,4.329,0.725,3.403,-0.201,4.112,0.508
363, c1ccc2c(c1)C(c1ccc(cc1)n1c3ccccc3c3c1cccc3)(c1ccc(cc1)n1c3ccccc3c3c1cccc3)c1c2cccc1,dichloromethane,2.877,4.16,1.283,4.437,1.56,4.846,1.969,5.014,2.137,4.353,1.476,4.978,2.101
364, c1ccc2c(c1)[nH]cn2,dichloromethane,2.06,7.043,4.983,6.525,4.465,6.916,4.856,7.097,5.037,6.897,4.837,7.109,5.049
365, c1ccc2c(c1)c(C#Cc1ccccc1)c1c(c2C#Cc2ccccc2)cccc1,dichloromethane,2.672,2.539,-0.133,2.704,0.032,2.894,0.222,2.955,0.283,2.613,-0.059,5.185,2.513
366, c1ccc(cc1)c1c2ccccc2c(c2c1cccc2)c1ccc(c2c1cccc2)c1ccc(c2c1cccc2)c1c2ccccc2c(c2c1cccc2)c1ccccc1,dichloromethane,2.805,3.307,0.502,3.403,0.598,3.607,0.802,3.727,0.922,3.343,0.538,3.715,0.91
367, [O-][N+](=Cc1ccc2c(c1)Sc1c(N2C)cccc1)c1cccc(c1)C(=O)C,dichloromethane,3.949,3.932,-0.017,3.499,-0.45,3.709,-0.24,3.797,-0.152,3.09,-0.859,3.721,-0.228
368, [O-][N+](=Cc1ccc2c(c1)Sc1c(N2C)cccc1)c1ccc(cc1)C(=O)C,dichloromethane,3.974,4.413,0.439,3.367,-0.607,3.595,-0.379,3.678,-0.296,4.633,0.659,3.585,-0.389
369, [O-]C.[Na+],dichloromethane,4.261,4.822,0.561,3.595,-0.666,4.521,0.26,5.242,0.981,5.05,0.789,5.357,1.096
370, O=C1C(=CC=CC=C2C=C(OC(=C2)c2ccccc2)c2ccccc2)C(=O)c2c1csc2,dichloromethane,2.023,2.424,0.401,2.374,0.351,2.49,0.467,2.552,0.529,2.471,0.448,2.559,0.536
371, O=C1CC(=O)NC(=O)N1,dichloromethane,2.412,7.757,5.345,7.382,4.97,7.22,4.808,7.428,5.016,7.991,5.579,7.477,5.065
372, O=C1CC(=O)NC(=S)N1,dichloromethane,2.309,4.882,2.573,4.786,2.477,5.038,2.729,5.152,2.843,5.026,2.717,5.125,2.816
373, O=C1OC(C)(C)OC(=O)C1=CC=C1C=C(OC(=C1)c1ccccc1)c1ccccc1,dichloromethane,2.49,2.991,0.501,2.917,0.427,3.067,0.577,3.131,0.641,3.056,0.566,3.139,0.649
374, O=C1OC(C)(C)OC(=O)C1=CC=CC=C1C=C(OC(=C1)c1ccccc1)c1ccccc1,dichloromethane,2.153,2.647,0.494,2.542,0.389,2.661,0.508,2.714,0.561,2.691,0.538,2.729,0.576
375, O=S(=O)(c1cccc(c1)N1N=C(CC1c1ccccc1)c1ccco1)c1cccc(c1)N1N=C(CC1c1ccccc1)c1ccco1,dichloromethane,3.563,3.511,-0.052,3.583,0.02,3.86,0.297,3.908,0.345,3.715,0.152,3.956,0.393
376, O=S(=O)(c1cccc(c1)N1N=C(CC1c1ccccc1)c1cccs1)c1cccc(c1)N1N=C(CC1c1ccccc1)c1cccs1,dichloromethane,3.351,3.379,0.028,3.547,0.196,3.752,0.401,3.836,0.485,3.535,0.184,3.86,0.509
377, O=c1[nH]c(c2c1c([nH]c2=O)c1ccc(cc1)C=Cc1ccccc1)c1ccc(cc1)C=Cc1ccccc1,dichloromethane,2.198,2.247,0.049,2.574,0.376,2.726,0.528,2.776,0.578,2.333,0.135,2.729,0.531
378, O=c1[nH]c(c2c1c([nH]c2=O)c1ccc(cc1)c1ccc(cc1)S(=O)(=O)C)c1ccc(cc1)c1ccc(cc1)S(=O)(=O)C,dichloromethane,2.296,2.519,0.223,4.16,1.864,4.497,2.201,4.605,2.309,2.596,0.3,4.533,2.237
379, O=c1cc(C)c2c(o1)c1c3c(c2)C(C)(C)CCN3CCC1(C)C,dichloromethane,3.246,6.113,2.867,5.904,2.658,6.352,3.106,6.526,3.28,6.265,3.019,6.562,3.316
380, O=c1cc(c2c(o1)c1c3c(c2)C(C)(C)CCN3CCC1(C)C)C(F)(F)F,dichloromethane,2.973,6.065,3.092,5.892,2.919,6.317,3.344,6.487,3.514,6.227,3.254,6.53,3.557
381, O=c1oc2c(c(c1)C(C(F)(F)F)(F)F)cc1c3c2C(C)(C)CCN3CCC1(C)C,dichloromethane,2.91,6,3.09,5.88,2.97,6.307,3.397,6.474,3.564,6.203,3.293,3.667,0.757
382, OC(=O)C(F)(F)F,dichloromethane,3.463,9.791,6.328,8.979,5.516,8.531,5.068,8.769,5.306,8.702,5.239,8.763,5.3
383, Oc1ccc(cc1c1nc2CCc3c(c2c2c1c1ccccc1CC2)cccc3)[N+](=O)[O-],dichloromethane,3.625,4.124,0.499,4.653,1.028,4.569,0.944,4.701,1.076,4.389,0.764,4.677,1.052
384, Oc1ccc2c(c1c1nc3CCc4c(c3c3c1c1ccccc1CC3)cccc4)cccc2,dichloromethane,3.583,4.593,1.01,4.665,1.082,4.978,1.395,5.11,1.527,4.725,1.142,5.086,1.503
385, Oc1ccccc1c1nc2CCc3c(c2c2c1c1ccccc1CC2)cccc3,dichloromethane,3.657,4.641,0.984,4.689,1.032,4.99,1.333,5.134,1.477,4.665,1.008,5.098,1.441
386, [Cl-].[Ag+],dichloromethane,2.588,4.134,1.546,3.55,0.962,4.167,1.579,7.013,4.425,4.374,1.786,6.84,4.252
387, O=C1C(=CC=C2OC(=CC(=C2)c2ccccc2)c2ccccc2)C(=O)c2c1csc2,dichloromethane,2.003,2.46,0.457,2.564,0.561,2.708,0.705,2.792,0.789,2.552,0.549,2.779,0.776
388, CSc1ccc(cc1)c1ccc(cc1)c1[nH]c(=O)c2c1c(=O)[nH]c2c1ccc(cc1)c1ccc(cc1)SC,dichloromethane,2.279,2.385,0.106,2.681,0.402,2.846,0.567,2.911,0.632,2.484,0.205,2.877,0.598
389, CN(c1ccc(cc1)C=Cc1c(F)c(F)c(c(c1F)F)C=Cc1ccc(cc1)N(C)C)C,dichloromethane,3.039,2.65,-0.389,3.104,0.065,3.292,0.253,3.343,0.304,2.757,-0.282,3.27,0.231
390, COc1ccc(nn1)C#Cc1ccc(cc1)N(c1ccc(cc1)C#Cc1ccc(nn1)OC)c1ccc(cc1)C#Cc1ccc(nn1)OC,dichloromethane,3.306,2.91,-0.396,3.427,0.121,3.824,0.518,3.739,0.433,3.054,-0.252,3.691,0.385
391, CC(CCC1(CCC(C)C)c2cc(ccc2c2c1cccc2)c1ccc2c3c1ccc1c3c(cc2)ccc1)C,dichloromethane,3.1,3.367,0.267,3.631,0.531,3.872,0.772,3.956,0.856,3.484,0.384,3.92,0.82
392, CC(c1ccc(cc1)Cn1nc(cc1c1nnc(o1)c1ccccc1)c1ccccc1)(C)C,dichloromethane,4.575,4.257,-0.318,4.309,-0.266,4.627,0.052,4.72,0.145,4.437,-0.138,4.7,0.125
393, CC(c1ccc2c(c1)C(c1ccc(cc1)n1c3ccccc3c3c1cccc3)(c1ccc(cc1)n1c3ccccc3c3c1cccc3)c1c2ccc(c1)C(C)(C)C)(C)C,dichloromethane,2.844,4.064,1.22,4.437,1.593,4.87,2.026,5.026,2.182,4.257,1.413,4.99,2.146
394, CC(c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)C1(c2ccc(cc2)n2c3ccc(cc3c3c2ccc(c3)C(C)(C)C)C(C)(C)C)c2ccccc2c2c1cccc2)C(C)(C)C)(C)C,dichloromethane,2.883,4.028,1.145,4.365,1.482,4.774,1.891,4.918,2.035,4.232,1.349,4.882,1.999
395, CC(c1ccc2c(c1)n(c1ccc3c(c1)c(c1ccccc1)c1c(c3c3ccccc3)cc(cc1)n1c3ccccc3c3c1c(ccc3)C(C)(C)C)c1c2cccc1)(C)C,dichloromethane,3.712,3.992,0.28,4.605,0.893,4.798,1.086,4.93,1.218,4.16,0.448,4.906,1.194
396, CC(c1cccc2c1n(c1ccc(cc1)c1ccc3c(c1)c(c1ccccc1)c1c(c3c3ccccc3)cccc1)c1c2cccc1)(C)C,dichloromethane,3.746,2.802,-0.944,3.198,-0.548,3.415,-0.331,4.99,1.244,2.994,-0.752,4.954,1.208
397, CC(c1cccc2c1n(c1ccc3c(c1)c(c1ccccc1)c1c(c3c3ccccc3)cccc1)c1c2cccc1)(C)C,dichloromethane,3.647,4.641,0.994,4.774,1.127,5.134,1.487,5.279,1.632,4.774,1.127,5.447,1.8
398, CC1(C)c2cc(C#Cc3c4ccccc4c(c4c3cc3c5ccccc5C(c3c4)(C)C)C#Cc3ccc4c(c3)C(C)(C)c3c4cccc3)ccc2c2c1cccc2,dichloromethane,2.48,2.657,0.177,3.018,0.538,3.267,0.787,3.327,0.847,2.754,0.274,3.293,0.813
399, CC1(C)c2cc(ccc2c2c1cc(cc2)[Si](c1ccccc1)(c1ccccc1)c1ccccc1)c1c2ccccc2c(c2c1cccc2)c1c2ccccc2c(c2c1cccc2)c1ccc2c(c1)C(C)(C)c1c2ccc(c1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1,dichloromethane,2.678,3.195,0.517,4.281,1.603,4.569,1.891,4.762,2.084,3.209,0.531,4.762,2.084
400, CC1(C)c2cc(ccc2c2c1cc(cc2)c1c2ccccc2c(c2c1cccc2)c1c2ccccc2c(c2c1cccc2)c1ccccc1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1,dichloromethane,2.755,3.204,0.449,3.31,0.555,3.496,0.741,4.81,2.055,3.286,0.531,3.598,0.843
401, CC(CCC1(CCC(C)C)c2cc(ccc2c2c1cccc2)c1cc(c2ccc3c(c2)C(CCC(C)C)(CCC(C)C)c2c3cccc2)c2c3c1ccc1c3c(cc2)cc(c1)C(C)(C)C)C,dichloromethane,2.995,3.198,0.203,4.1,1.105,4.331,1.336,4.474,1.479,3.303,0.308,4.403,1.408
402, CC1(C)c2cc(ccc2c2c1cc(cc2)c1c2ccccc2c(c2c1cccc2)c1ccc(cc1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1,dichloromethane,2.737,3.233,0.496,4.365,1.628,4.569,1.832,4.762,2.025,4.569,1.832,4.737,2
403, CC1(C)c2ccccc2c2c1cc1c(c2)c(C#Cc2ccccc2)c2c(c1C#Cc1ccccc1)cccc2,dichloromethane,2.594,2.465,-0.129,4.365,1.771,2.879,0.285,4.822,2.228,2.538,-0.056,2.896,0.302
404, CC1=NN(C(=O)C1=Cc1cn(c2c1cccc2)Cc1ccccc1)c1ccccc1,dichloromethane,3.009,3.403,0.394,3.427,0.418,3.487,0.478,3.59,0.581,3.501,0.492,3.619,0.61
